Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Bart Verbruggen,NED,GK,21.0,36.0,36.0,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,
Jan Paul van Hecke,NED,DF,24.0,34.0,33.0,2958.0,32.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,
Carlos Baleba,CMR,MF,20.0,34.0,31.0,2661.0,29.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,
Kaoru Mitoma,JPN,FW,27.0,36.0,28.0,2603.0,28.9,10.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,MF
Pervis Estupiñán,ECU,DF,26.0,30.0,26.0,2402.0,26.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,
Danny Welbeck,ENG,FW,33.0,30.0,24.0,2115.0,23.5,10.0,4.0,14.0,9.0,1.0,1.0,5.0,0.0,
Lewis Dunk,ENG,DF,32.0,25.0,23.0,2083.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
João Pedro,BRA,FW,22.0,27.0,23.0,1948.0,21.6,10.0,6.0,16.0,5.0,5.0,5.0,4.0,1.0,MF
Yasin Ayari,SWE,MF,20.0,34.0,22.0,1965.0,21.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,
Jack Hinshelwood,ENG,MF,19.0,26.0,22.0,1842.0,20.5,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,DF
Yankuba Minteh,GAM,FW,20.0,32.0,20.0,1838.0,20.4,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,MF
Joël Veltman,NED,DF,32.0,21.0,19.0,1697.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Georginio Rutter,FRA,MF,22.0,28.0,19.0,1656.0,18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,FW
Simon Adingra,CIV,FW,22.0,29.0,12.0,1097.0,12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,MF
Matt O'Riley,DEN,MF,23.0,21.0,11.0,938.0,10.4,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Webster,ENG,DF,29.0,14.0,11.0,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Mats Wieffer,NED,DF,24.0,25.0,10.0,1015.0,11.3,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,MF
Igor,BRA,DF,26.0,13.0,10.0,961.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,
Tariq Lamptey,GHA,DF,23.0,15.0,10.0,860.0,9.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,
Brajan Gruda,GER,MF,20.0,21.0,8.0,687.0,7.6,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,FW
Ferdi Kadioglu,TUR,DF,24.0,6.0,5.0,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,MF
Diego Gómez,PAR,MF,21.0,16.0,4.0,516.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
James Milner,ENG,MF,38.0,4.0,3.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Julio Enciso,PAR,MF,20.0,12.0,2.0,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Evan Ferguson,IRL,FW,19.0,13.0,2.0,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
Jason Steele,ENG,GK,33.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Solly March,ENG,FW,30.0,8.0,1.0,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MF
Billy Gilmour,SCO,MF,23.0,2.0,1.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eiran Cashin,IRL,DF,22.0,2.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jakub Moder,POL,MF,25.0,4.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jeremy Sarmiento,ECU,MF,22.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Howell,ENG,FW,15.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Valentín Barco,ARG,DF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Killian Cahill,IRL,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe Knight,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ruairi Mcconville,NIR,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mark O'Mahony,IRL,FW,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Carl Rushworth,ENG,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Imari Samuels,ENG,DF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Freddie Simmonds,ENG,DF,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jacob Slater,IRL,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Charlie Tasker,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
